construct,x_value,y_value,quadrant
bringsAbout,0.0991735537190082,0.0039893617021276,Q3
characterization,0.5619834710743802,0.0742021276595744,Q1
comparative,0.0495867768595041,0.0049202127659574,Q3
componentOf,0.371900826446281,0.0732712765957446,Q1
creation,0.1487603305785124,0.0079787234042553,Q4
derivation,0.3223140495867768,0.0291223404255319,Q1
externalDependence,0.1818181818181818,0.0102393617021276,Q1
historicalDependence,0.1322314049586777,0.0058510638297872,Q3
instantiation,0.140495867768595,0.0091755319148936,Q2
manifestation,0.0991735537190082,0.0045212765957446,Q3
material,0.4462809917355372,0.082845744680851,Q1
mediation,0.6363636363636364,0.2615691489361702,Q1
memberOf,0.256198347107438,0.0269946808510638,Q1
participation,0.2396694214876033,0.0280585106382978,Q1
participational,0.0330578512396694,0.0022606382978723,Q3
subCollectionOf,0.0495867768595041,0.0035904255319148,Q3
subQuantityOf,0.0330578512396694,0.0018617021276595,Q3
termination,0.024793388429752,0.0006648936170212,Q3
triggers,0.0826446280991735,0.002127659574468,Q3
other,0.2892561983471074,0.0706117021276595,Q1
none,0.8677685950413223,0.2961436170212766,Q1
