Stereotype,x_value,y_value,quadrant
bringsAbout,30,0.0195758564437194,Q3
characterization,558,0.1109298531810766,Q1
comparative,37,0.0097879282218597,Q3
componentOf,551,0.0734094616639478,Q1
creation,60,0.0293637846655791,Q2
derivation,219,0.0636215334420881,Q1
externalDependence,77,0.0358890701468189,Q1
historicalDependence,44,0.0261011419249592,Q3
instantiation,69,0.0277324632952691,Q4
manifestation,34,0.0195758564437194,Q3
material,623,0.0880913539967373,Q1
mediation,1967,0.1256117455138662,Q1
memberOf,203,0.0505709624796084,Q1
participation,211,0.0473083197389885,Q1
participational,17,0.0065252854812398,Q3
subCollectionOf,27,0.0097879282218597,Q3
subQuantityOf,14,0.0065252854812398,Q3
termination,5,0.0048939641109298,Q3
triggers,16,0.0163132137030995,Q3
other,531,0.0570962479608482,Q1
none,2227,0.1712887438825448,Q1
