Stereotype,DistanceFromOrigin,Rank
mediation,78.69729337595098,1
characterization,68.15619252974471,2
material,54.24490513349377,3
componentOf,45.22981712107876,4
derivation,39.041974858263465,5
memberOf,31.045364068540312,6
participation,29.05238104191515,7
externalDependence,22.00920168197125,8
creation,18.006828839191297,9
instantiation,17.00956150834287,10
historicalDependence,16.004131697938465,11
manifestation,12.0032893973044,12
bringsAbout,12.002561027171778,13
triggers,10.000874219009923,14
comparative,6.00778699206617,15
subCollectionOf,6.004147873003805,16
participational,4.002466625577289,17
subQuantityOf,4.001673033085681,18
termination,3.0002845754425382,19
