Stereotype,x_value,y_value,quadrant
bringsAbout,0.0991735537190082,0.0253699788583509,Q3
characterization,0.5619834710743802,0.1437632135306553,Q1
comparative,0.0495867768595041,0.0126849894291754,Q3
componentOf,0.371900826446281,0.095137420718816,Q1
creation,0.1487603305785124,0.0380549682875264,Q1
derivation,0.3223140495867768,0.0824524312896406,Q1
externalDependence,0.1818181818181818,0.0465116279069767,Q1
historicalDependence,0.1322314049586777,0.0338266384778012,Q3
instantiation,0.140495867768595,0.0359408033826638,Q1
manifestation,0.0991735537190082,0.0253699788583509,Q3
material,0.4462809917355372,0.1141649048625792,Q1
mediation,0.6363636363636364,0.1627906976744186,Q1
memberOf,0.256198347107438,0.0655391120507399,Q1
participation,0.2396694214876033,0.0613107822410148,Q1
participational,0.0330578512396694,0.0084566596194503,Q3
subCollectionOf,0.0495867768595041,0.0126849894291754,Q3
subQuantityOf,0.0330578512396694,0.0084566596194503,Q3
termination,0.024793388429752,0.0063424947145877,Q3
triggers,0.0826446280991735,0.0211416490486257,Q3
