Stereotype,DistanceFromOrigin,Rank
mediation,1326.7881129967725,1
none,557.3310550069399,2
other,368.2187221589836,3
componentOf,318.18900447433913,4
material,298.1771174004813,5
characterization,158.09390788347667,6
memberOf,130.07726598007574,7
derivation,113.0671619672966,8
subCollectionOf,19.011292720164914,9
comparative,15.008915305393353,10
externalDependence,8.004754829543122,11
participation,4.002377414771561,12
subQuantityOf,3.0017830610786707,13
historicalDependence,0.0,14
bringsAbout,0.0,14
creation,0.0,14
participational,0.0,14
instantiation,0.0,14
manifestation,0.0,14
termination,0.0,14
triggers,0.0,14
