Stereotype,DistanceFromOrigin,Rank
mediation,1326.0001008818379,1
none,557.0006148101902,2
other,368.0003166518826,3
componentOf,318.0003159609256,4
material,298.00051073701934,5
characterization,158.0004553042101,6
memberOf,130.00045733021176,7
derivation,113.00042616694864,8
subCollectionOf,19.000500650516383,9
comparative,15.000039635302372,10
externalDependence,8.000297259637819,11
participation,4.000148629818909,12
subQuantityOf,3.0007926023916367,13
historicalDependence,0.0,14
bringsAbout,0.0,14
creation,0.0,14
participational,0.0,14
instantiation,0.0,14
manifestation,0.0,14
termination,0.0,14
triggers,0.0,14
