Stereotype,DistanceFromOrigin,Rank
material,16.001133746679898,1
mediation,15.001062887512406,2
componentOf,13.000921169177419,3
characterization,11.000779450842431,4
memberOf,10.000708591674938,5
derivation,9.000637732507444,6
subCollectionOf,4.000283436669974,7
externalDependence,2.000141718334987,8
subQuantityOf,2.000141718334987,8
participation,1.0000708591674936,9
comparative,1.0000708591674936,9
bringsAbout,0.0,10
historicalDependence,0.0,10
manifestation,0.0,10
instantiation,0.0,10
creation,0.0,10
participational,0.0,10
termination,0.0,10
triggers,0.0,10
