Stereotype,DistanceFromOrigin,Rank
mediation,1326.0001008818379,1
componentOf,318.0003159609256,2
material,298.00051073701934,3
characterization,158.0004553042101,4
memberOf,130.00045733021176,5
derivation,113.00042616694864,6
subCollectionOf,19.000500650516383,7
comparative,15.000039635302372,8
externalDependence,8.000297259637819,9
participation,4.000148629818909,10
subQuantityOf,3.0007926023916367,11
bringsAbout,0.0,12
historicalDependence,0.0,12
manifestation,0.0,12
instantiation,0.0,12
creation,0.0,12
participational,0.0,12
termination,0.0,12
triggers,0.0,12
